date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,ozone,temperature_2m_mean,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,cough,asthma,pm25_score,multi_pollutant_score,weather_score,health_proxy_score,health_risk_score,risk_children,risk_elderly,risk_asthma,risk_healthy,risk_level
2022-08-04,14.88421052631579,21.226315789473684,380.1578947368421,14.226315789473684,82.47368421052632,22.6,4.5,5.0,89,44.0,11.0,19.84561403508772,30.83,57.65,30.8,31.8,39.75,33.69,36.84,31.8,Moderate
2022-08-05,18.166666666666668,25.933333333333334,387.9166666666667,13.729166666666666,82.66666666666667,22.9,19.3,6.8,87,44.0,11.0,24.75,30.58,53.7,30.8,32.9,41.12,34.35,37.8,32.9,Moderate
2022-08-06,20.3375,29.05,391.1666666666667,13.2625,77.25,23.0,20.3,6.9,87,44.0,11.0,28.006249999999998,29.35,53.41,30.8,33.84,42.3,35.11,37.98,33.84,Moderate
2022-08-07,19.17083333333333,27.441666666666663,463.9583333333333,21.091666666666665,64.29166666666667,22.8,25.9,7.0,88,44.0,11.0,26.256249999999994,34.55,53.96,30.8,34.55,43.19,35.94,35.32,34.55,Moderate
2022-08-08,19.866666666666667,28.416666666666668,524.0833333333334,23.59583333333333,67.70833333333333,22.9,7.5,6.6,88,44.0,11.0,27.3,38.02,54.42,30.8,35.93,44.91,37.29,36.34,35.93,Moderate
2022-08-09,17.758333333333333,25.3875,491.5416666666667,20.47083333333333,73.125,23.8,15.7,5.8,85,44.0,11.0,24.1375,35.94,53.14,30.8,33.89,42.36,35.34,35.88,33.89,Moderate
2022-08-10,15.104166666666666,21.616666666666664,505.2083333333333,23.695833333333336,61.66666666666666,23.3,31.6,6.8,87,44.0,11.0,20.15625,36.81,53.16,30.8,32.52,40.65,34.17,32.58,32.52,Moderate
2022-08-11,13.791666666666666,19.775,466.2916666666667,20.6875,64.16666666666667,23.2,19.1,6.4,85,44.0,11.0,18.38888888888889,34.24,53.04,30.8,31.14,38.92,32.88,32.36,31.14,Moderate
2022-08-12,16.45,23.570833333333336,451.5416666666667,20.979166666666668,64.08333333333333,22.9,2.6,5.9,86,44.0,11.0,22.174999999999997,34.24,54.62,30.8,32.97,41.21,34.6,33.99,32.97,Moderate
2022-08-13,23.329166666666666,33.425000000000004,488.5416666666667,21.4,68.25,23.3,13.8,7.2,87,44.0,11.0,32.49375,35.82,52.56,30.8,37.08,46.35,38.09,37.88,37.08,Moderate
2022-08-14,19.27083333333333,27.58333333333333,449.375,18.1125,67.83333333333333,22.3,16.1,6.6,90,34.0,11.0,26.406249999999993,32.54,56.08,24.8,33.63,42.04,35.12,35.48,33.63,Moderate
2022-08-15,11.295833333333334,16.25,334.2916666666667,13.7375,57.458333333333336,22.5,8.2,14.3,87,34.0,11.0,15.061111111111112,25.58,42.98,24.8,24.74,30.92,26.13,27.16,24.74,Moderate
