date,temperature_2m_mean,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
2020-01-01,9.8,0.0,6.5,63
2020-01-02,10.1,0.0,6.5,71
2020-01-03,7.7,14.1,8.7,91
2020-01-04,7.9,7.0,6.4,88
2020-01-05,7.3,0.2,9.1,80
2020-01-06,8.1,0.0,7.3,67
2020-01-07,8.5,1.3,7.3,80
2020-01-08,8.7,3.2,6.7,87
2020-01-09,8.4,5.1,6.3,88
2020-01-10,8.4,0.0,10.5,86
2020-01-11,8.2,0.0,6.6,82
2020-01-12,10.6,0.0,7.4,67
2020-01-13,11.4,0.0,8.0,69
2020-01-14,11.5,0.0,9.7,72
2020-01-15,14.4,0.0,11.2,58
2020-01-16,11.8,9.6,6.2,75
2020-01-17,9.7,34.7,9.6,92
2020-01-18,9.6,0.3,8.7,75
2020-01-19,8.5,2.1,8.8,79
2020-01-20,8.2,0.0,11.2,75
2020-01-21,9.4,0.0,8.3,60
2020-01-22,11.1,0.0,11.2,58
2020-01-23,10.4,0.0,10.5,65
2020-01-24,8.8,0.0,7.7,83
2020-01-25,8.5,0.0,8.9,84
2020-01-26,7.9,0.3,7.4,88
2020-01-27,9.0,0.0,9.7,84
2020-01-28,11.7,0.1,12.9,69
2020-01-29,12.5,0.0,11.1,69
2020-01-30,10.7,0.4,11.8,74
2020-01-31,10.1,0.0,10.8,78
2020-02-01,9.5,4.2,7.8,86
2020-02-02,8.6,0.0,9.7,81
2020-02-03,8.6,0.0,10.4,78
2020-02-04,10.0,0.5,8.9,76
2020-02-05,9.3,0.0,12.0,76
2020-02-06,9.5,0.3,7.2,72
2020-02-07,9.6,0.3,7.9,76
2020-02-08,8.9,2.0,8.4,77
2020-02-09,8.6,0.0,13.3,68
2020-02-10,10.4,0.0,9.7,59
2020-02-11,11.3,0.0,9.7,65
2020-02-12,11.2,0.0,8.4,74
2020-02-13,12.6,0.0,8.5,78
2020-02-14,12.6,0.0,10.3,86
2020-02-15,13.2,0.2,7.1,85
2020-02-16,13.9,1.0,8.2,86
2020-02-17,13.7,0.7,10.0,88
2020-02-18,13.7,0.0,11.7,84
2020-02-19,13.2,1.9,8.2,88
2020-02-20,13.3,0.6,9.5,88
2020-02-21,12.3,5.2,7.7,88
2020-02-22,13.1,0.5,10.2,78
2020-02-23,12.3,1.6,9.0,78
2020-02-24,11.9,2.1,7.8,78
2020-02-25,10.7,7.0,10.1,87
2020-02-26,10.3,13.4,10.4,88
2020-02-27,11.3,0.2,14.3,82
2020-02-28,11.9,0.3,8.9,83
2020-02-29,13.3,0.0,8.1,76
2020-03-01,14.2,0.9,8.9,74
2020-03-02,12.9,8.2,5.8,79
2020-03-03,13.3,0.5,9.5,74
2020-03-04,12.4,3.4,6.6,81
2020-03-05,12.6,0.6,7.1,77
2020-03-06,12.1,3.4,7.1,81
2020-03-07,11.5,1.9,11.4,79
2020-03-08,13.5,0.0,13.0,65
2020-03-09,14.2,0.0,12.5,76
2020-03-10,14.9,0.0,12.1,83
2020-03-11,15.6,0.3,11.8,73
2020-03-12,17.3,0.0,13.4,55
2020-03-13,15.1,4.5,9.2,63
2020-03-14,13.6,7.7,10.8,83
2020-03-15,13.0,3.0,9.7,76
2020-03-16,14.9,1.7,10.0,62
2020-03-17,14.5,2.0,8.2,74
2020-03-18,14.4,1.3,10.0,79
2020-03-19,13.9,6.3,6.8,80
2020-03-20,12.7,8.5,10.2,84
2020-03-21,13.1,5.2,9.3,83
2020-03-22,13.4,7.7,8.3,85
2020-03-23,13.6,5.3,7.1,84
2020-03-24,15.6,0.1,10.0,81
2020-03-25,15.4,7.7,8.4,89
2020-03-26,17.7,0.8,10.2,81
2020-03-27,18.9,0.4,15.9,78
2020-03-28,19.1,0.0,14.4,65
2020-03-29,19.0,0.0,14.2,60
2020-03-30,17.9,0.0,11.8,68
2020-03-31,18.4,0.7,10.8,67
2020-04-01,16.2,5.0,8.1,79
2020-04-02,17.0,0.0,14.1,65
2020-04-03,18.1,0.0,8.3,52
2020-04-04,18.3,0.1,7.2,55
2020-04-05,18.8,2.3,10.1,51
2020-04-06,18.5,0.2,10.5,55
2020-04-07,19.3,0.0,14.1,53
2020-04-08,18.8,1.4,14.1,56
2020-04-09,17.8,0.7,17.0,54
2020-04-10,18.9,0.0,9.7,49
2020-04-11,18.6,0.2,11.3,54
2020-04-12,19.6,0.0,14.5,60
2020-04-13,19.2,5.9,10.9,77
2020-04-14,18.5,4.6,10.1,78
2020-04-15,18.7,1.7,8.0,78
2020-04-16,17.4,10.2,7.6,86
2020-04-17,17.5,14.8,10.6,89
2020-04-18,17.9,4.4,10.2,83
2020-04-19,18.2,0.4,13.5,72
2020-04-20,18.2,2.1,9.9,72
2020-04-21,15.4,13.9,13.8,85
2020-04-22,14.8,11.0,10.5,84
2020-04-23,15.7,4.7,6.6,85
2020-04-24,15.4,10.1,8.7,85
2020-04-25,16.4,9.2,6.6,87
2020-04-26,16.6,13.0,9.3,88
2020-04-27,16.9,5.6,5.5,85
2020-04-28,16.4,9.5,5.8,87
2020-04-29,16.8,10.7,7.2,88
2020-04-30,17.4,3.5,7.3,85
2020-05-01,17.2,13.1,7.6,90
2020-05-02,18.1,2.5,6.6,85
2020-05-03,18.6,0.9,8.2,83
2020-05-04,17.9,7.6,8.4,87
2020-05-05,18.1,13.9,6.9,83
2020-05-06,16.9,12.9,7.5,87
2020-05-07,15.9,3.8,10.2,85
2020-05-08,17.6,1.1,11.4,73
2020-05-09,18.7,3.5,6.1,80
2020-05-10,18.4,12.7,8.0,84
2020-05-11,18.6,1.7,7.8,79
2020-05-12,18.2,5.1,7.7,81
2020-05-13,19.0,4.8,7.1,82
2020-05-14,19.6,1.6,9.7,85
2020-05-15,19.6,6.9,9.0,88
2020-05-16,21.0,2.9,10.6,79
2020-05-17,21.1,0.8,11.3,80
2020-05-18,20.5,3.3,8.8,85
2020-05-19,20.4,0.8,10.8,83
2020-05-20,20.6,1.8,7.5,81
2020-05-21,19.5,8.2,6.4,90
2020-05-22,20.9,7.5,7.9,90
2020-05-23,20.8,88.8,6.8,95
2020-05-24,21.2,7.7,11.2,90
2020-05-25,21.6,6.9,8.4,85
2020-05-26,20.4,11.6,6.3,86
2020-05-27,20.2,9.9,9.8,83
2020-05-28,18.8,19.0,8.7,91
2020-05-29,19.1,5.5,7.1,87
2020-05-30,19.5,15.8,6.7,89
2020-05-31,19.6,13.6,9.0,91
2020-06-01,19.9,1.2,10.7,85
2020-06-02,20.8,0.2,12.1,77
2020-06-03,20.9,1.4,7.9,79
2020-06-04,19.1,7.2,7.3,88
2020-06-05,18.1,61.2,11.5,90
2020-06-06,19.9,27.5,7.2,87
2020-06-07,21.0,5.0,8.7,87
2020-06-08,21.5,2.0,7.6,85
2020-06-09,21.9,6.0,7.2,89
2020-06-10,22.2,31.1,7.6,90
2020-06-11,22.5,3.8,8.4,86
2020-06-12,22.7,24.2,6.4,88
2020-06-13,22.4,28.5,6.8,91
2020-06-14,22.1,38.9,6.9,93
2020-06-15,21.6,22.4,6.8,92
2020-06-16,21.4,16.0,9.8,93
2020-06-17,22.1,12.5,7.1,91
2020-06-18,22.1,8.7,7.2,94
2020-06-19,22.1,16.2,6.6,93
